Date,Open,High,Low,Close,Volume,Market Cap
2022/3/14,37777.35,39947.12,37555,39671.37,46945.45375,46945.45375
2022/3/13,38807.35,39310,37578.51,37777.34,32791.82359,32791.82359
2022/3/12,38729.57,39486.71,38660.52,38807.36,24034.36432,24034.36432
2022/3/11,39422.01,40236.26,38223.6,38729.57,59018.7642,59018.7642
2022/3/10,41941.7,42039.63,38539.73,39422,71962.93154,71962.93154
2022/3/9,38730.63,42594.06,38656.45,41941.71,67392.58799,67392.58799
2022/3/8,37988.01,39362.08,37867.65,38730.63,55583.06638,55583.06638
2022/3/7,38420.8,39547.57,37155,37988,63994.11559,63994.11559
2022/3/6,39397.97,39693.87,38088.57,38420.81,39677.26158,39677.26158
2022/3/5,39148.65,39613.24,38407.59,39397.96,30363.13341,30363.13341
2022/3/4,42454,42527.3,38550,39148.66,61964.68498,61964.68498
2022/3/3,43892.99,44101.12,41832.28,42454,50940.61021,50940.61021
2022/3/2,44421.2,45400,43334.09,43892.98,57782.65081,57782.65081
2022/3/1,43160,44949,42809.98,44421.2,61743.09873,61743.09873
2022/2/28,37699.08,44225.84,37450.17,43160,73945.63858,73945.63858
2022/2/27,39116.73,39855.7,37000,37699.07,46229.44719,46229.44719
2022/2/26,39219.16,40348.45,38573.18,39116.72,29361.2568,29361.2568
2022/2/25,38328.68,39683.53,38014.37,39219.17,56574.57125,56574.57125
2022/2/24,37250.02,39843,34322.28,38327.21,120476.2946,120476.2946
2022/2/23,38230.33,39249.93,37036.79,37250.01,43560.732,43560.732
2022/2/22,37008.16,38429,36350,38230.33,53785.94589,53785.94589
2022/2/21,38386.89,39494.35,36800,37008.16,62347.68496,62347.68496
2022/2/20,40079.17,40125.44,38000,38386.89,33439.29011,33439.29011
2022/2/19,39974.45,40444.32,39639.03,40079.17,18042.0551,18042.0551
2022/2/18,40515.71,40959.88,39450,39974.44,43845.92241,43845.92241
2022/2/17,43873.56,44164.71,40073.21,40515.7,47245.99494,47245.99494
2022/2/16,44544.85,44549.97,43307,43873.56,28471.8727,28471.8727
2022/2/15,42535.94,44751.4,42427.03,44544.86,38095.19576,38095.19576
2022/2/14,42053.65,42842.4,41550.56,42535.94,34010.1306,34010.1306
2022/2/13,42217.87,42760,41870,42053.66,17732.08113,17732.08113
2022/2/12,42373.73,43079.49,41688.88,42217.87,26556.85681,26556.85681
2022/2/11,43495.44,43920,41938.51,42373.73,44975.1687,44975.1687
2022/2/10,44372.71,45821,43174.01,43495.44,62357.29091,62357.29091
2022/2/9,44043,44799,43117.92,44372.72,34428.16729,34428.16729
2022/2/8,43839.99,45492,42666,44042.99,64880.29387,64880.29387
2022/2/7,42380.87,44500.5,41645.85,43839.99,51060.62006,51060.62006
2022/2/6,41382.6,42656,41116.56,42380.87,22405.16704,22405.16704
2022/2/5,41571.7,41913.69,40843.01,41382.59,32532.34372,32532.34372
2022/2/4,37311.98,41772.33,37026.73,41574.25,64703.95874,64703.95874
2022/2/3,36896.37,37387,36250,37311.61,32081.10999,32081.10999
2022/2/2,38694.59,38855.92,36586.95,36896.36,35794.6813,35794.6813
2022/2/1,38466.9,39265.2,38000,38694.59,34574.44663,34574.44663
2022/1/31,37881.75,38744,36632.61,38466.9,36855.2458,36855.2458
2022/1/30,38166.83,38359.26,37351.63,37881.76,21430.66527,21430.66527
2022/1/29,37716.57,38720.74,37268.44,38166.84,26129.49682,26129.49682
2022/1/28,37160.11,38000,36155.01,37716.56,42154.26956,42154.26956
2022/1/27,36807.24,37234.47,35507.01,37160.1,53020.87934,53020.87934
2022/1/26,36958.32,38919.98,36234.63,36809.34,69830.16036,69830.16036
2022/1/25,36660.35,37545.14,35701,36958.32,49232.40183,49232.40183
2022/1/24,36244.55,37550,32917.17,36660.35,91904.75321,91904.75321
2022/1/23,35071.42,36499,34601.01,36244.55,44279.52354,44279.52354
2022/1/22,36445.31,36835.22,34008,35071.42,90471.33896,90471.33896
2022/1/21,40680.92,41100,35440.45,36445.31,88860.892,88860.892
2022/1/20,41660,43505,40553.31,40680.91,42330.33953,42330.33953
2022/1/19,42352.12,42559.13,41138.56,41660.01,31685.72159,31685.72159
2022/1/18,42201.63,42691,41250,42352.12,29324.08257,29324.08257
2022/1/17,43071.66,43176.18,41540.42,42201.62,27562.08613,27562.08613
2022/1/16,43084.29,43475,42581.79,43071.66,20602.35271,20602.35271
2022/1/15,43059.96,43800,42555,43084.29,21936.05616,21936.05616
2022/1/14,42558.35,43448.78,41725.95,43059.96,32640.88292,32640.88292
2022/1/13,43902.65,44500,42311.22,42560.11,34910.87762,34910.87762
2022/1/12,42729.29,44322,42450,43902.66,33943.2928,33943.2928
2022/1/11,41822.49,43100,41268.93,42729.29,37296.43729,37296.43729
2022/1/10,41864.62,42248.5,39650,41822.49,50729.17019,50729.17019
2022/1/9,41679.74,42786.7,41200.02,41864.62,22724.39426,22724.39426
2022/1/8,41566.48,42300,40501,41679.74,32952.73111,32952.73111
2022/1/7,43082.3,43145.83,40610,41566.48,54836.50818,54836.50818
2022/1/6,43451.14,43816,42430.58,43082.31,38880.37305,38880.37305
2022/1/5,45832.01,47070,42500,43451.13,51784.11857,51784.11857
2022/1/4,46446.1,47557.54,45500,45832.01,35491.4136,35491.4136
2022/1/3,47286.18,47570,45696,46446.1,27662.0771,27662.0771
2022/1/2,47722.66,47990,46654,47286.18,18340.4604,18340.4604
2022/1/1,46216.93,47954.63,46208.37,47722.65,19604.46325,19604.46325
2021/12/31,47120.88,48548.26,45678,46216.93,34937.99796,34937.99796
2021/12/30,46464.66,47900,45900,47120.87,30352.29569,30352.29569
2021/12/29,47543.74,48139.08,46096.99,46464.66,39498.87,39498.87
2021/12/28,50701.44,50704.05,47313.01,47543.74,45853.33924,45853.33924
2021/12/27,50775.48,52088,50449,50701.44,28792.21566,28792.21566
2021/12/26,50399.67,51280,49412,50775.49,22569.88914,22569.88914
2021/12/25,50819.99,51156.23,50142.32,50399.66,19135.51613,19135.51613
2021/12/24,50838.82,51810,50384.43,50820,31684.84269,31684.84269
2021/12/23,48588.17,51375,47920.42,50838.81,35192.54046,35192.54046
2021/12/22,48887.59,49576.13,48421.87,48588.16,27004.2022,27004.2022
2021/12/21,46914.17,49328.96,46630,48889.88,37713.92924,37713.92924
2021/12/20,46681.24,47537.57,45558.85,46914.16,35848.50609,35848.50609
2021/12/19,46834.47,48300.01,46406.91,46681.23,29305.70665,29305.70665
2021/12/18,46133.83,47392.37,45500,46834.48,25020.05271,25020.05271
2021/12/17,47632.38,47995.96,45456,46131.2,43104.4887,43104.4887
2021/12/16,48864.98,49436.43,47511,47632.38,31949.86739,31949.86739
2021/12/15,48336.95,49500,46547,48864.98,51629.181,51629.181
2021/12/14,46702.76,48700.41,46290,48343.28,39955.98445,39955.98445
2021/12/13,50053.9,50189.97,45672.75,46702.75,50869.52093,50869.52093
2021/12/12,49389.99,50777,48638,50053.9,26017.93421,26017.93421
2021/12/11,47140.54,49485.71,46751,49389.99,28889.19358,28889.19358
2021/12/10,47535.9,50125,46852,47140.54,44233.57391,44233.57391
2021/12/9,50471.19,50797.76,47320,47545.59,37692.68665,37692.68665
2021/12/8,50588.95,51200,48600,50471.19,38425.92466,38425.92466
2021/12/7,50441.91,51936.33,50039.74,50588.95,38253.46877,38253.46877
2021/12/6,49396.32,50891.11,47100,50441.92,58571.21575,58571.21575
2021/12/5,49152.46,49699.05,47727.21,49396.33,45580.82012,45580.82012
2021/12/4,53601.05,53859.1,42000.3,49152.47,114203.3737,114203.3737
2021/12/3,56484.26,57600,51680,53601.05,58927.69027,58927.69027
2021/12/2,57184.07,57375.47,55777.77,56480.34,37574.05976,37574.05976
2021/12/1,56950.56,59053.55,56458.01,57184.07,44956.63656,44956.63656
2021/11/30,57776.25,59176.99,55875.55,56950.56,49161.05194,49161.05194
2021/11/29,57274.89,58865.97,56666.67,57776.25,40125.28009,40125.28009
2021/11/28,54716.47,57445.05,53256.64,57274.88,36163.7137,36163.7137
2021/11/27,53723.72,55280,53610,54721.03,29716.99957,29716.99957
2021/11/26,58960.37,59150,53500,53726.53,65927.87066,65927.87066
2021/11/25,57138.29,59398.9,57000,58960.36,42153.51522,42153.51522
2021/11/24,57541.26,57735,55837,57138.29,39612.04964,39612.04964
2021/11/23,56243.83,58009.99,55317,57541.27,49917.85017,49917.85017
2021/11/22,58617.7,59444,55610,56247.18,51724.32047,51724.32047
2021/11/21,59707.52,60029.76,58486.65,58622.02,31902.22785,31902.22785
2021/11/20,58057.1,59845,57353,59707.51,33811.5901,33811.5901
2021/11/19,56891.62,58320,55600,58052.24,50715.88726,50715.88726
